id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
128799124,MicheilleSoifer,4.206,4.008438818647875e-05,0,90,13,1.0,0,0,1,0.0,0,1,1151962,2597,443.5741239892183,12742,3.3602320675105486,3792,1,0,0,1,1,1,0
114557557,elkpga,11.367,4.6651029450117676e-05,0,159,24,0.8846153846153846,1,0,1,0.0,0,1,73307,2850,25.721754385964914,12587,3.2804274172530623,3837,1,1,0,1,1,1,0
111673973,ILYtricey,0.927,0.0003038731479074741,0,30,4,1.0,0,0,0,0.0,0,1,96,267,0.3595505617977528,1864,0.4845334026514167,3847,0,0,0,0,1,1,0
848822905,BulletValentina,2.496,1.1099549080739735e-05,0,105,9,0.9230769230769231,0,0,2,0.0,0,1,731524,302,2422.264900662252,1701,0.5900104058272633,2883,1,0,0,1,1,1,0
265814650,DJC113Live,0.234,0.00018456181079509748,0,21,1,1.0,0,0,0,0.0,0,1,8,265,0.03018867924528302,20877,6.058328496807893,3446,0,0,0,0,1,1,1
133694084,dodoroirene,0.837,0.00035716176859934556,0,37,6,0.8333333333333334,0,0,0,0.0,0,1,7,330,0.021212121212121213,2526,0.6687847498014297,3777,0,0,0,1,1,1,1
1658061462,idarksynth,7.279,0.00042322681215889446,0,0,0,0.0,0,0,0,0.0,0,0,792,290,2.731034482758621,13644,5.317225253312548,2566,0,0,0,1,1,0,0
60031646,TurtleRua,6.157,0.00030892901310863863,0,50,7,1.0,0,0,0,0.0,0,1,306,446,0.6860986547085202,7386,1.8268612416522385,4043,0,0,0,1,1,1,0
111936162,DamarisLewis,4.137,0.0002854914196568359,0,68,13,0.6923076923076923,0,0,0,0.0,0,1,27613,104,265.50961538461536,601,0.156266250650026,3846,1,0,0,0,1,1,0
2768241314,janelle_ty,0.857,0.0002082379862700101,0,95,11,1.0,0,0,0,0.0,0,1,71,312,0.22756410256410256,3489,1.5967963386727688,2185,0,0,0,0,1,1,0
703857318,qty_3,0.892,0.00036437521164922604,0,0,0,0.0,0,0,0,0.0,0,0,6,43,0.13953488372093023,1951,0.6606840501185235,2953,0,1,0,0,0,0,1
632029895,karengant1,0.307,0.00032860520094563084,0,0,0,0.0,0,0,0,0.0,0,0,28,40,0.7,666,0.22492401215805471,2961,0,1,0,0,1,0,1
1587544788,PopDpp,1.079,0.00038728323699421807,0,0,0,0.0,0,0,0,0.0,0,0,43,0,0.0,1876,0.7229287090558767,2595,0,0,0,0,1,0,1
243794651,9olfo,0.926,9.567459180748195e-05,0,0,0,0.0,0,0,0,0.0,0,0,49,87,0.5632183908045977,2314,0.6628473216843311,3491,0,0,0,1,0,0,1
788792041,hmchile,1.724,9.890109890098309e-05,0,56,10,1.0,0,0,0,0.0,0,1,173010,344,502.9360465116279,428,0.14697802197802198,2912,1,0,0,1,0,1,0
